epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1137.99,1.18573,1.30077,0.82327,0.11885,0.29069,0.08156,0.05409,1.21233,53.7304,0.84053,0.000405983,0.000405983,0.000405983
2,2241.99,1.17633,0.72252,0.81496,0.44237,0.17481,0.10706,0.06618,1.32035,18.2201,0.88095,0.000814505,0.000814505,0.000814505
3,3340.42,1.21651,0.70188,0.8174,0.74605,0.51802,0.55583,0.32322,1.1161,0.87515,0.81593,0.00121478,0.00121478,0.00121478
4,4436.97,1.1877,0.69204,0.81482,0.84556,0.48806,0.60946,0.37284,1.11882,0.75237,0.81599,0.00121287,0.00121287,0.00121287
5,5537.21,1.17383,0.62102,0.81002,0.86529,0.57687,0.69916,0.43275,1.07075,0.59925,0.81632,0.0012005,0.0012005,0.0012005
6,6634.96,1.09959,0.58014,0.80786,0.79851,0.53971,0.67228,0.40213,1.12243,0.6896,0.82441,0.00118812,0.00118812,0.00118812
7,7729.44,1.15236,0.5956,0.80713,0.7958,0.62261,0.7269,0.4258,1.11434,0.56112,0.81638,0.00117575,0.00117575,0.00117575
8,8831,1.06194,0.54474,0.80395,0.88186,0.62126,0.71644,0.44124,1.00021,0.5247,0.80347,0.00116337,0.00116337,0.00116337
9,9929.46,1.00238,0.51306,0.80162,0.91627,0.64276,0.73962,0.46217,0.98821,0.49411,0.80354,0.001151,0.001151,0.001151
10,11003.3,1.02249,0.51479,0.80075,0.77098,0.61064,0.70805,0.46029,0.90496,0.49943,0.80396,0.00113863,0.00113863,0.00113863
